Q_ID;T_ID;Q_N;Q_NameS;Q_Name
1323;14;1;"Какие из ниже перечисленных средств колл"
1324;14;2;"Показатели микроклимата нормируются в за"
1325;14;3;"К ионизирующим излучениям относятся:"
1326;14;4;"От чего зависит нормирование коэффициент"
1327;14;5;"Какими параметрами нормируется постоянны"
1328;14;6;"Какие типы виброизоляторов используются"
1329;14;7;"Каким показателем нормируется содержание"
1330;14;8;"Локальная механическая вентиляция может"
1331;14;9;"Какой параметр используется для нормиров"
1332;14;10;"Каких цветов рекомендуются марки стекол"
1334;14;11;"Какие виды ионизирующих излучений могут"
1335;14;12;"Как называется способ защиты, который за"
1336;14;13;"Какие основные средства индивидуальной з"
1337;14;14;"На каком принципе основано действие обще"
1338;14;15;"Что определяет  величину снижения шума в"
1339;14;16;"К какому классу опасности относятся вред"
1340;14;17;"На каком принципе основано защитное дейс"
1341;14;18;"К основным нормируемым показателям состо"
1342;14;19;"Какие устройства из ниже приведенных цел"
1343;14;20;"Использование теплоотражающих экранов яв"
1344;14;21;"Система вентиляции, которая применяется"
1345;14;22;"К какой группе относятся вещества, вызыв"
1346;14;23;"На степень поражения человека при действ"
1347;14;24;"Какой орган человека наиболее подвержен"
1348;14;25;"Какие материалы используются для теплоиз"
1349;14;26;"Назовите вентиляционную установку, котор"
1350;14;27;"Что учитывается при нормировании вибраци"
1351;14;28;"Какие средства индивидуальной защиты исп"
1352;14;29;"Как изменится К.Е.О., если освещенность"
1353;14;30;"Нормируемыми параметрами лазерного излуч"
1354;14;31;"Система вентиляции, которая применяется"
1355;14;32;"На какие виды подразделяется общая вибра"
1356;14;33;"Какая величина используется при  нормиро"
1357;14;34;"Назовите виды неорганизованной естествен"
1358;14;35;"Какое значение освещенности (Е) нормируе"
1359;14;36;"Совмещенное освещение – это сочетание:"
1360;14;37;"Допустимая температура воздуха и скорост"
1361;14;38;"Единица измерения освещённости:"
1362;14;39;"Основные принципы, обеспечивающие безопа"
1363;14;40;"Допустимые величины показателей микрокли"
1364;14;41;"При ориентировочной оценке производствен"
1365;14;42;"Децибел (дБ) – это:"
1366;14;43;"Какой из ниже перечисленных принципов, о"
1367;14;44;"Нормирование величин (показателей) вредн"
1368;14;45;"Какой термин соответствует следующему оп"
1369;14;46;"Герметизация оборудования, механизация,"
1370;14;47;"Какие вещества из ниже перечисленных при"
1371;14;48;"Под рабочей зоной понимается"
1372;14;49;"К средствам индивидуальной защиты от уль"
1373;14;50;"Марки стеклянных фильтров для защитных э"
1374;14;51;"ПДК для воздуха рабочей зоны устанавлива"
1375;14;52;"Под определением «Вредный производственн"
1376;14;53;"Приборы, используемые  для измерения пар"
1377;14;54;"Какие средства индивидуальной защиты  пр"
1378;14;55;"Защита от воздействия вредностей на орга"
1379;14;56;"Ионизирующие излучения могут вызывать:"
1380;14;57;"Безопасные условия труда на пути распрос"
1381;14;58;"Фактическое значение коэффициента естест"
1382;14;59;"Методы воздействия на источник возникнов"
1383;14;60;"На каких частотах даются нормы для шума"
1384;14;61;"Обеспечение безопасности в первую очеред"
1385;14;62;"Инфракрасное излучение может вызывать:"
1386;14;63;"Какая система вентиляции применяется в п"
1387;14;64;"Безопасные условия труда на пути распрос"
1388;14;65;"Безопасные условия труда на пути распрос"
1389;14;66;"При снижении коэффициента теплопередачи"
1390;14;67;"Под энергетической экспозицией понимают:"
1391;14;68;"При искусственном  освещении нормируется"
1392;14;69;"Средства индивидуальной защиты от вибрац"
1393;14;70;"Светофильтры для очков и масок при работ"
1394;14;71;"Каким прибором измеряют загазованность в"
1395;14;72;"Мерой содержания пылей и вредных газообр"
1396;14;73;"Вредные вещества делят на:"
1397;14;74;"Нормирование производственного освещения"
1398;14;75;"Под относительной влажностью понимают:"
1399;14;76;"Под облученностью  понимают:"
1400;14;77;"Каким видам вибрации вы подвергаетесь пр"
1401;14;78;"Средства индивидуальной защиты от вибрац"
1402;14;79;"По функциональному назначению  искусстве"
1403;14;80;"Перечислите параметры, которые влияют на"
1406;15;1;"Расследованию и учету подлежат несчастны"
1407;15;2;"Виды травм на производстве, подлежащие р"
1408;15;3;"События, подлежащие расследованию на про"
1409;15;4;"События, подлежащие расследованию на про"
1410;15;5;"Несчастные случае подлежат расследованию"
1411;15;6;"Несчастные случаи считаются связанными с"
1412;15;7;"Правильная последовательность действия р"
1413;15;8;"Работники организации____обязаны извещат"
1414;15;9;"В течении_____ суток работодатель обязан"
1415;15;10;"Организации, в которых работодатель долж"
1416;15;11;"В состав комиссии по расследованию несча"
1417;15;12;"Для расследования несчастного случая на"
1418;15;13;"При расследовании несчастного случая (в"
1419;15;14;"Для расследования группового несчастного"
1420;15;15;"В течении _______ дней проводится рассле"
1421;15;16;"В течении _______ дней проводится рассле"
1422;15;17;"Рекомендуемая последовательность расслед"
1423;15;18;"Основные материалы расследования несчаст"
1424;15;19;"Покаждому несчатному случаю, связанном с"
1425;15;20;"По каждому несчастному случаю, квалифици"
1426;15;21;"При несчастном случае на производстве с"
1427;15;22;"В случае установления факта грубой неост"
1428;15;23;"Государственный инспектор проводит допол"
1429;15;24;"Комиссия по расследованию несчастного сл"
1430;15;25;"Работодатель в течении _____ дней после"
1431;15;26;"Второй экземпляр акта по форме Н-1 вмест"
1432;15;27;"При страховых случаях третий экземпляр а"
1433;15;28;"Разногласия по вопросам расследования, о"
1434;15;29;"Результаты каждого несчастного случая ра"
1435;15;30;"Ответственность за реализацию мероприяти"
1436;15;31;"Конечная цель расследования несчастного"
1437;15;32;"Заключение о степени тяжести производств"
1438;15;33;"По степени тяжести несчастные случаи на"
1439;15;34;"К тяжелым несчастным случаям на производ"
1440;15;35;"К легким несчастным случаям на производс"
1441;16;1;"Какие виды действия электрический ток мо"
1442;16;2;"Что является результатом термического де"
1443;16;3;"Что является результатом электролитическ"
1444;16;4;"Что является результатом биологического"
1445;16;5;"Какие бывают виды электротравм?"
1446;16;6;"Как классифицируются местные элекротравм"
1447;16;7;"Какой вид на теле человека имеют электри"
1448;16;8;"Чем характеризуется металлизация кожи?"
1449;16;9;"Что является причиной механических повре"
1450;16;10;"Электроофтальмия это?"
1451;16;11;"Сколько различают степеней электрических"
1452;16;12;" Какая степень электрического удара сопр"
1453;16;13;"Какая степень электрического удара харак"
1454;16;14;" Какая степень электрического удара хара"
1455;16;15;"Какая степень электрического удара харак"
1456;16;16;" В чем отличие клинической смерти от био"
1457;16;17;"Какова в большинстве случаев продолжител"
1458;16;18;"От каких факторов зависит исход воздейст"
1459;16;19;"Каким принимают сопротивление тела челов"
1460;16;20;" По значению силы тока, протекающего чер"
1461;16;21;"При какой частоте переменный ток наиболе"
1462;16;22;"Какое воздействие на человека оказывает"
1463;16;23;"Какой ток наиболее опасен для человека?"
1464;16;24;"Как классифицируются электроустановки в"
1465;16;25;"Открытая проводящая часть – это…"
1466;16;26;"Что такое прямое прикосновение человека"
1467;16;27;"Что такое косвенное прикосновение челове"
1468;16;28;"В каких режимах в отношении мер безопасн"
1469;16;29;"Каковы основные причины несчастных случа"
1470;16;30;"Какие основные меры защиты от поражения"
1471;16;31;"За счет чего обеспечивается недоступност"
1472;16;32;"Электрическое разделение сети – это…"
1473;16;33;"За счет чего обеспечивается дополнительн"
1474;16;34;"Какое напряжение допускается для питания"
1475;16;35;"Комбинацией каких видов изоляции являетс"
1476;16;36;"Требуется ли заземление корпусов ручных"
1477;16;37;"На сколько классов делятся помещения по"
1478;16;38;"Как классифицируются помещения по степен"
1479;16;39;"Признаки, характеризующие помещения без"
1480;16;40;"Признаки, характеризующие помещения с по"
1481;16;41;"Признаки, характеризующие особо опасные"
1482;16;42;"К какому классу помещений по степени опа"
1483;16;43;"Электрозащитные средства – это … изделия"
1484;16;44;"На какие классы разделяются электрозащит"
1485;16;45;"Для какой цели служат изолирующие электр"
1486;16;46;"Для какой цели служат ограждающие электр"
1487;16;47;"Для какой цели служат вспомогательные эл"
1488;16;48;"Какие из ниже перечисленных электрозащит"
1489;16;49;"Какие из ниже перечисленных электрозащит"
1490;16;50;"Какие из ниже перечисленных относятся к"
1491;16;51;"Что указывается в наряде на производство"
1492;16;52;"При выполнении работ в электроустановках"
1493;16;53;"Каков срок действия распоряжения на прои"
1494;16;54;"Требуется ли проведение целевого инструк"
1495;16;55;"Должен ли состав бригады, работающий в э"
1496;16;56;"Разрешается ли допуск к работе в электро"
1497;16;57;" У кого остаются допуски к работе в элек"
1498;18;1;"Какие мероприятия по обеспечению безопас"
1499;18;2;"Какая надзорная организация контролирует"
1500;18;3;"Какие работы считаются сверхурочными?"
1501;18;4;"На кого из нижеперечисленных могут прика"
1502;18;5;"С какой целью проводится сертификация пр"
1503;18;6;"Что входит в обязанности работодателя пр"
1504;18;7;"На кого распространяется действие 'Прави"
1505;18;8;"К каким видам ответственности могут быть"
1506;18;9;"На кого распространяются Правила пожарно"
1507;18;10;"В каких исключительных случаях допускает"
1508;18;11;"Какие последствия влечет отказ работника"
1509;18;12;"В чем заключается дисциплинарная ответст"
1510;18;13;"Каковы основные направления государствен"
1511;18;14;"Что входит в состав планов по охране тру"
1512;18;15;"В каких случаях проект технических услов"
1513;18;16;"Какие права из нижеперечисленных должны"
1514;18;17;"В каких случаях государственный инспекто"
1515;18;18;"Что из ниже перечисленного должен обеспе"
1516;18;19;"На какие подгруппы по характеру воздейст"
1517;18;20;"Обязательно ли перед допуском к работе п"
1518;18;21;"Кому от имени работников предоставляется"
